numero_titulo,tipo_credor,serie,id_cliente,tipo_pagamento,data_emissao,vencimento,data_pagamento,valor,instituicao,situacao_titulo,codigo_credito,descricao_credito,codigo_debito,descricao_debito,data_hora_lancamento
54666,1,100,5753,2,2025-05-02 0:00:00,2025-05-30 0:00:00,2025-05-30 0:00:00,"999,95",237,3,2,VENDA DE PRODUTOS,NULL,NULL,May  2 2025 12:00AM09:28
55436,1,100,266,2,2025-09-18 0:00:00,2025-10-16 0:00:00,2025-10-16 0:00:00,"999,86",237,3,2,VENDA DE PRODUTOS,NULL,NULL,Sep 18 2025 12:00AM14:41
60942,2,1,245,2,2025-09-08 0:00:00,2026-01-06 0:00:00,1753-01-01 0:00:00,"999,13",2,1,NULL,NULL,22,MATERIA PRIMA,Sep  8 2025 12:00AM10:38
54877,1,100,4555,8,2025-06-10 0:00:00,2025-10-10 0:00:00,2025-10-21 0:00:00,"998,53",2,3,2,VENDA DE PRODUTOS,NULL,NULL,Jun 10 2025 12:00AM09:25
82250,2,1,3747,2,2025-12-02 0:00:00,2025-12-30 0:00:00,1753-01-01 0:00:00,"997,40",2,1,NULL,NULL,22,MATERIA PRIMA,Dec  2 2025 12:00AM11:32
54834,1,100,2838,2,2025-05-30 0:00:00,2025-07-25 0:00:00,2025-07-25 0:00:00,"997,14",237,3,2,VENDA DE PRODUTOS,NULL,NULL,May 30 2025 12:00AM11:35
54834,1,100,2838,2,2025-05-30 0:00:00,2025-08-22 0:00:00,2025-08-22 0:00:00,"997,13",237,3,2,VENDA DE PRODUTOS,NULL,NULL,May 30 2025 12:00AM11:35
54616,1,100,5708,2,2025-04-24 0:00:00,2025-05-22 0:00:00,2025-05-26 0:00:00,"996,42",237,3,2,VENDA DE PRODUTOS,NULL,NULL,Apr 24 2025 12:00AM08:11
54824,1,100,542,2,2025-05-30 0:00:00,2025-06-27 0:00:00,2025-06-27 0:00:00,"995,94",237,3,2,VENDA DE PRODUTOS,NULL,NULL,May 30 2025 12:00AM09:24
1666,2,1,5805,2,2025-07-07 0:00:00,2025-08-06 0:00:00,2025-08-06 0:00:00,"995,90",237,3,NULL,NULL,22,MATERIA PRIMA,Jul  7 2025 12:00AM17:18
1666,2,1,5805,2,2025-07-07 0:00:00,2025-08-20 0:00:00,2025-08-20 0:00:00,"995,90",237,3,NULL,NULL,22,MATERIA PRIMA,Jul  7 2025 12:00AM17:18
134463,2,1,2622,2,2025-05-15 0:00:00,2025-07-10 0:00:00,2025-07-10 0:00:00,"995,51",237,3,NULL,NULL,22,MATERIA PRIMA,May 15 2025 12:00AM15:14
54373,1,100,5502,2,2025-03-03 0:00:00,2025-03-31 0:00:00,2025-03-31 0:00:00,"995,40",237,3,2,VENDA DE PRODUTOS,NULL,NULL,Mar  3 2025 12:00AM13:04
54373,1,100,5502,2,2025-03-03 0:00:00,2025-04-14 0:00:00,2025-04-14 0:00:00,"995,40",237,3,2,VENDA DE PRODUTOS,NULL,NULL,Mar  3 2025 12:00AM13:04
10143525,3,100,3512,2,2025-11-17 0:00:00,2025-12-26 0:00:00,1753-01-01 0:00:00,"995,32",341,1,NULL,NULL,22,MATERIA PRIMA,Nov 17 2025 12:00AM16:21
134463,2,1,2622,2,2025-05-15 0:00:00,2025-06-26 0:00:00,2025-06-26 0:00:00,"995,21",237,3,NULL,NULL,22,MATERIA PRIMA,May 15 2025 12:00AM15:14
20252,2,S,5559,2,2025-01-09 0:00:00,2025-01-20 0:00:00,2025-01-20 0:00:00,"995,20",237,3,NULL,NULL,29,COMISSAO,Jan  9 2025 12:00AM09:19
55533,1,100,2638,2,2025-10-08 0:00:00,2025-11-19 0:00:00,2025-11-19 0:00:00,"995,00",237,3,2,VENDA DE PRODUTOS,NULL,NULL,Oct  8 2025 12:00AM11:24
55533,1,100,2638,2,2025-10-08 0:00:00,2025-12-03 0:00:00,2025-12-03 0:00:00,"995,00",237,3,2,VENDA DE PRODUTOS,NULL,NULL,Oct  8 2025 12:00AM11:24
54917,1,100,4620,2,2025-06-13 0:00:00,2025-09-05 0:00:00,2025-09-05 0:00:00,"994,62",237,3,2,VENDA DE PRODUTOS,NULL,NULL,Jun 13 2025 12:00AM13:22
54036,1,100,561,2,2025-01-09 0:00:00,2025-02-06 0:00:00,2025-02-06 0:00:00,"993,71",237,3,2,VENDA DE PRODUTOS,NULL,NULL,Jan  9 2025 12:00AM15:44
54266,1,100,2133,2,2025-02-18 0:00:00,2025-03-18 0:00:00,2025-03-18 0:00:00,"993,66",237,3,2,VENDA DE PRODUTOS,NULL,NULL,Feb 18 2025 12:00AM14:13
55923,1,100,5921,2,2025-11-26 0:00:00,2025-12-24 0:00:00,1753-01-01 0:00:00,"992,22",237,1,2,VENDA DE PRODUTOS,NULL,NULL,Nov 26 2025 12:00AM13:18
13728,2,1,5467,2,2025-06-27 0:00:00,2025-08-11 0:00:00,2025-08-11 0:00:00,"991,41",237,3,NULL,NULL,22,MATERIA PRIMA,Jun 27 2025 12:00AM10:49
13728,2,1,5467,2,2025-06-27 0:00:00,2025-08-26 0:00:00,2025-08-26 0:00:00,"991,41",237,3,NULL,NULL,22,MATERIA PRIMA,Jun 27 2025 12:00AM10:49
13728,2,1,5467,2,2025-06-27 0:00:00,2025-07-27 0:00:00,2025-07-28 0:00:00,"991,40",237,3,NULL,NULL,22,MATERIA PRIMA,Jun 27 2025 12:00AM10:49
28208,2,1,2286,2,2025-11-03 0:00:00,2025-12-04 0:00:00,2025-12-04 0:00:00,"991,28",2,3,NULL,NULL,22,MATERIA PRIMA,Nov  3 2025 12:00AM17:00
54827,1,100,3363,2,2025-05-30 0:00:00,2025-07-29 0:00:00,2025-07-29 0:00:00,"991,22",237,3,2,VENDA DE PRODUTOS,NULL,NULL,May 30 2025 12:00AM09:28
54827,1,100,3363,2,2025-05-30 0:00:00,2025-08-13 0:00:00,2025-08-18 0:00:00,"991,22",237,3,2,VENDA DE PRODUTOS,NULL,NULL,May 30 2025 12:00AM09:28
