codigo,tipo,datareceb,descricao,valor,NumTitulo,Serie,Instituicao,ContaContabil,ContaContabilDebito,N,Tipo_C,Codigo_C,Numero
193931,C,2025-01-21 00:00:00.000,RESGATE FUNDOS,"500.000,00",0,,237,0,0,0,0,0,NULL
193839,C,2025-01-15 00:00:00.000,RESGATE FUNDOS,"374.916,41",0,,237,0,0,0,0,0,NULL
193840,D,2025-01-15 00:00:00.000,RETIRADA DE LUCRO - DIEGO,"335.000,00",0,,237,0,0,0,0,0,NULL
193935,D,2025-01-21 00:00:00.000,RETIRADA DE LUCRO,"335.000,00",0,,237,0,9,0,0,0,NULL
193841,D,2025-01-15 00:00:00.000,RETIRADA DE LUCRO - JAIR,"165.000,00",0,,237,0,0,0,0,0,NULL
193936,D,2025-01-21 00:00:00.000,RETIRADA DE LUCRO,"165.000,00",0,,237,0,9,0,0,0,NULL
193838,C,2025-01-15 00:00:00.000,RESG/VENCTO CDB,"125.082,60",0,,237,0,0,0,0,0,NULL
197890,C,2025-09-12 00:00:00.000,Lançamento Referente Recebimento Duplicata,"87.777,46",55095,100,237,2,0,1,1,5832,55095
196226,D,2025-06-10 00:00:00.000,APLICACAO CDB,"83.147,09",0,,237,0,0,0,0,0,NULL
196175,C,2025-06-06 00:00:00.000,RESG AUTOMATICO INVESTIM,"80.269,39",0,,237,0,0,0,0,0,NULL
195820,D,2025-05-14 00:00:00.000,APLICACAO INVESTIMENTOS,"77.713,69",0,,237,0,0,0,0,0,NULL
194829,D,2025-03-18 00:00:00.000,APLICACAO INVESTIMENTOS,"77.477,99",0,,237,0,0,0,0,0,NULL
197728,C,2025-09-05 00:00:00.000,RESG AUTOMATICO INVESTIM,"76.893,00",0,,237,0,0,0,0,0,NULL
197439,D,2025-08-18 00:00:00.000,APLICACAO CDB,"73.107,00",0,,237,0,0,0,0,0,NULL
199079,C,2025-11-25 00:00:00.000,Lançamento Referente Recebimento Duplicata,"68.202,72",55509,100,2,2,0,1,1,5832,55509
196795,D,2025-07-10 00:00:00.000,APLICACAO CDB,"66.102,61",0,,237,0,0,0,0,0,NULL
198514,C,2025-10-22 00:00:00.000,Lançamento Referente Recebimento Duplicata,"65.925,59",55268,100,2,2,0,1,1,5832,55268
195214,D,2025-04-10 00:00:00.000,APLICACAO INVESTIMENTOS,"64.481,84",0,,237,0,0,0,0,0,NULL
195667,C,2025-05-07 00:00:00.000,RESG AUTOMATICO INVESTIM,"64.188,90",0,,237,0,0,0,0,0,NULL
